trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
45,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.7207888714616,"{0: 9, 1: 5, 2: 9, 3: 2, 4: 0}",0
46,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.99897870532472,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
47,False,"{'a': 0.5, 'e': 1.0}",25,0,-230.63970367308102,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 4}",0
48,False,"{'a': 0.5, 'e': 1.0}",20,2,-87.0891017961135,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 0}",1
49,False,"{'a': 0.5, 'e': 1.0}",30,0,-171.7341526395855,"{0: 13, 1: 6, 2: 9, 3: 1, 4: 1}",0
50,False,"{'a': 0.5, 'e': 1.0}",20,7,-54.32060174261352,"{0: 5, 1: 3, 2: 5, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 1.0}",30,0,-129.20148006267888,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
52,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.85996868366641,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.41644844832194,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.180421389794,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 1.0}",30,0,-184.9533995962278,"{0: 13, 1: 6, 2: 7, 3: 3, 4: 1}",0
56,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.5205310358761,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.15130571584106,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
58,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.19317462282343,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
59,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.3876578135597,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
60,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.55156151995035,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 1.0}",30,0,-173.01245252870044,"{0: 17, 1: 6, 2: 4, 3: 0, 4: 3}",0
62,False,"{'a': 0.5, 'e': 1.0}",30,0,-121.93730198377065,"{0: 16, 1: 4, 2: 8, 3: 2, 4: 0}",0
63,False,"{'a': 0.5, 'e': 1.0}",30,0,-105.18525049345429,"{0: 21, 1: 4, 2: 1, 3: 3, 4: 1}",0
64,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.15790760151678,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
65,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.8823385392594,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
66,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.75760545372955,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
67,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.89842297893654,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 1.0}",30,0,-189.67571069525488,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
69,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.38030651787398,"{0: 8, 1: 7, 2: 3, 3: 2, 4: 0}",0
70,False,"{'a': 0.5, 'e': 1.0}",20,0,-178.41280419593562,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",0
71,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.147397384092216,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
72,False,"{'a': 0.5, 'e': 1.0}",25,2,-54.39637917861428,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.56775925430546,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
74,False,"{'a': 0.5, 'e': 1.0}",20,13,7.855503216427215,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.47372011290939,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
76,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.7882169924162,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
77,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.4304563990651,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
78,False,"{'a': 0.5, 'e': 1.0}",35,0,-242.04967640384754,"{0: 18, 1: 3, 2: 9, 3: 2, 4: 3}",0
79,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.62641412460835,"{0: 11, 1: 5, 2: 6, 3: 2, 4: 1}",0
80,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.32230826473425,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
81,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.14972246385886,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
82,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.37033060618762,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
83,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.50274462206303,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.870239351206074,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.14123935809317,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
86,False,"{'a': 0.5, 'e': 1.0}",25,0,-60.437236552278456,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.83245809640525,"{0: 12, 1: 1, 2: 9, 3: 2, 4: 1}",0
88,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.77607572229545,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
89,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.45631094612288,"{0: 9, 1: 2, 2: 6, 3: 3, 4: 0}",0
90,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.20322489096682,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
91,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.99535667759038,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
92,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.1833138941314,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
